@	@	0.000000
@	A	0.400000
@	B	0.900000
@	C	0.900000
@	E	0.150000
@	F	0.900000
@	H	0.900000
@	I	0.400000
@	J	0.400000
@	K	0.900000
@	L	0.900000
@	M	0.900000
@	N	0.900000
@	O	0.400000
@	P	0.900000
@	Q	0.900000
@	R	0.900000
@	S	0.900000
@	T	0.900000
@	U	0.400000
@	V	0.400000
@	W	0.400000
@	X	0.900000
@	Z	0.900000
@	a	0.400000
@	b	0.900000
@	c	0.900000
@	d	0.900000
@	e	0.150000
@	f	0.900000
@	g	0.900000
@	h	0.900000
@	i	0.400000
@	j	0.400000
@	k	0.900000
@	l	0.900000
@	m	0.900000
@	n	0.900000
@	o	0.400000
@	p	0.900000
@	q	0.900000
@	r	0.400000
@	s	0.900000
@	t	0.900000
@	u	0.400000
@	v	0.400000
@	w	0.400000
@	x	0.900000
@	y	0.900000
@	z	0.900000
A	@	0.400000
A	A	0.000000
A	B	0.900000
A	C	0.900000
A	E	0.200000
A	F	0.900000
A	H	0.900000
A	I	0.200000
A	J	0.400000
A	K	0.900000
A	L	0.900000
A	M	0.900000
A	N	0.900000
A	O	0.400000
A	P	0.900000
A	Q	0.900000
A	R	0.900000
A	S	0.900000
A	T	0.900000
A	U	0.400000
A	V	0.150000
A	W	0.150000
A	X	0.900000
A	Z	0.900000
A	a	0.400000
A	b	0.900000
A	c	0.900000
A	d	0.900000
A	e	0.200000
A	f	0.900000
A	g	0.900000
A	h	0.900000
A	i	0.400000
A	j	0.400000
A	k	0.900000
A	l	0.900000
A	m	0.900000
A	n	0.900000
A	o	0.200000
A	p	0.900000
A	q	0.900000
A	r	0.150000
A	s	0.900000
A	t	0.900000
A	u	0.400000
A	v	0.400000
A	w	0.400000
A	x	0.900000
A	y	0.900000
A	z	0.900000
B	@	0.900000
B	A	0.900000
B	B	0.000000
B	C	0.500000
B	E	0.900000
B	F	0.500000
B	H	0.500000
B	I	0.900000
B	J	0.900000
B	K	0.100000
B	L	0.500000
B	M	0.500000
B	N	0.500000
B	O	0.900000
B	P	0.500000
B	Q	0.500000
B	R	0.500000
B	S	0.500000
B	T	0.500000
B	U	0.900000
B	V	0.900000
B	W	0.900000
B	X	0.500000
B	Z	0.500000
B	a	0.900000
B	b	0.500000
B	c	0.500000
B	d	0.500000
B	e	0.900000
B	f	0.500000
B	g	0.150000
B	h	0.500000
B	i	0.900000
B	j	0.900000
B	k	0.150000
B	l	0.500000
B	m	0.500000
B	n	0.500000
B	o	0.900000
B	p	0.500000
B	q	0.500000
B	r	0.900000
B	s	0.500000
B	t	0.500000
B	u	0.900000
B	v	0.900000
B	w	0.900000
B	x	0.500000
B	y	0.500000
B	z	0.500000
C	@	0.900000
C	A	0.900000
C	B	0.500000
C	C	0.000000
C	E	0.900000
C	F	0.250000
C	H	0.500000
C	I	0.900000
C	J	0.900000
C	K	0.500000
C	L	0.500000
C	M	0.500000
C	N	0.500000
C	O	0.900000
C	P	0.500000
C	Q	0.500000
C	R	0.500000
C	S	0.500000
C	T	0.500000
C	U	0.900000
C	V	0.900000
C	W	0.900000
C	X	0.250000
C	Z	0.500000
C	a	0.900000
C	b	0.500000
C	c	0.500000
C	d	0.500000
C	e	0.900000
C	f	0.500000
C	g	0.010000
C	h	0.500000
C	i	0.900000
C	j	0.900000
C	k	0.500000
C	l	0.500000
C	m	0.500000
C	n	0.500000
C	o	0.900000
C	p	0.500000
C	q	0.250000
C	r	0.900000
C	s	0.500000
C	t	0.500000
C	u	0.900000
C	v	0.900000
C	w	0.900000
C	x	0.500000
C	y	0.500000
C	z	0.500000
E	@	0.150000
E	A	0.200000
E	B	0.900000
E	C	0.900000
E	E	0.000000
E	F	0.900000
E	H	0.900000
E	I	0.400000
E	J	0.150000
E	K	0.900000
E	L	0.900000
E	M	0.900000
E	N	0.900000
E	O	0.400000
E	P	0.900000
E	Q	0.900000
E	R	0.900000
E	S	0.900000
E	T	0.900000
E	U	0.400000
E	V	0.400000
E	W	0.400000
E	X	0.900000
E	Z	0.900000
E	a	0.400000
E	b	0.900000
E	c	0.900000
E	d	0.900000
E	e	0.000000
E	f	0.900000
E	g	0.900000
E	h	0.900000
E	i	0.400000
E	j	0.400000
E	k	0.900000
E	l	0.900000
E	m	0.900000
E	n	0.900000
E	o	0.400000
E	p	0.900000
E	q	0.900000
E	r	0.400000
E	s	0.900000
E	t	0.900000
E	u	0.400000
E	v	0.400000
E	w	0.400000
E	x	0.900000
E	y	0.900000
E	z	0.900000
F	@	0.900000
F	A	0.900000
F	B	0.500000
F	C	0.250000
F	E	0.900000
F	F	0.000000
F	H	0.500000
F	I	0.900000
F	J	0.900000
F	K	0.500000
F	L	0.500000
F	M	0.250000
F	N	0.500000
F	O	0.900000
F	P	0.200000
F	Q	0.500000
F	R	0.500000
F	S	0.500000
F	T	0.500000
F	U	0.900000
F	V	0.900000
F	W	0.900000
F	X	0.500000
F	Z	0.500000
F	a	0.900000
F	b	0.010000
F	c	0.500000
F	d	0.500000
F	e	0.900000
F	f	0.500000
F	g	0.500000
F	h	0.500000
F	i	0.900000
F	j	0.900000
F	k	0.500000
F	l	0.500000
F	m	0.500000
F	n	0.500000
F	o	0.900000
F	p	0.500000
F	q	0.250000
F	r	0.900000
F	s	0.500000
F	t	0.500000
F	u	0.900000
F	v	0.900000
F	w	0.900000
F	x	0.500000
F	y	0.500000
F	z	0.500000
H	@	0.900000
H	A	0.900000
H	B	0.500000
H	C	0.500000
H	E	0.900000
H	F	0.500000
H	H	0.000000
H	I	0.900000
H	J	0.900000
H	K	0.500000
H	L	0.500000
